resultado_codigo,eje_numero,eje_es,eje_en,linea_accion_codigo,linea_accion_es,linea_accion_en,resultado_esperado_es,resultado_esperado_en,intervencion_id,pagina_plan,intervencion_fuente_es,objetivo_fuente_es,responsable_oficial,estado_ejecucion,cruce_catalogo_estado,proyecto_ids,indicadores,fecha_ultima_revision
1.1.1,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.1,"Proponer un marco ético y normativo para el uso, adopción y desarrollo responsable de la IA en Costa Rica","Propose an ethical and regulatory framework for responsible AI use, adoption and development in Costa Rica",Sandbox regulatorio de IA implementado,AI regulatory sandbox implemented,enia-1-1-1-01,1,Modelo de gestión del sandbox regulatorio de IA,Diseñar el modelo de gestión del sandbox regulatorio de IA,MICITT-DIDI,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.1.2,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.1,"Proponer un marco ético y normativo para el uso, adopción y desarrollo responsable de la IA en Costa Rica","Propose an ethical and regulatory framework for responsible AI use, adoption and development in Costa Rica",Marco ético y normativo integral e inclusivo que no limite el desarrollo tecnológico y la innovación elaborado,Comprehensive and inclusive ethical and regulatory framework developed without limiting technological development and innovation,enia-1-1-2-01,1,Marco ético y normativo del diagnóstico clínico en salud,Desarrollar el marco ético y normativo para el control del diagnóstico clínico en salud mediante software con algoritmos y tecnologías de Inteligencia Artificial,MINSA,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.1.2,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.1,"Proponer un marco ético y normativo para el uso, adopción y desarrollo responsable de la IA en Costa Rica","Propose an ethical and regulatory framework for responsible AI use, adoption and development in Costa Rica",Marco ético y normativo integral e inclusivo que no limite el desarrollo tecnológico y la innovación elaborado,Comprehensive and inclusive ethical and regulatory framework developed without limiting technological development and innovation,enia-1-1-2-02,1,Marco ético y normativo del diagnóstico clínico en salud,"Desarrollar el marco ético y normativo institucional para el uso y aprovechamiento de la Inteligencia Artificial en el ejercicio de las funciones y la producción de investigaciones, análisis y desarrollo de iniciativas",Ministerio de Planificación y Política Económica (MIDEPLAN)*,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.1.2,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.1,"Proponer un marco ético y normativo para el uso, adopción y desarrollo responsable de la IA en Costa Rica","Propose an ethical and regulatory framework for responsible AI use, adoption and development in Costa Rica",Marco ético y normativo integral e inclusivo que no limite el desarrollo tecnológico y la innovación elaborado,Comprehensive and inclusive ethical and regulatory framework developed without limiting technological development and innovation,enia-1-1-2-03,2,"Políticas de IA que promuevan la inclusión, equidad, sostenibilidad e I+D+i","Implementar políticas que promuevan la inclusión, equidad y sostenibilidad, la innovación y el desarrollo tecnológico asociado con la IA",MICITT-DIDI,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.1.2,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.1,"Proponer un marco ético y normativo para el uso, adopción y desarrollo responsable de la IA en Costa Rica","Propose an ethical and regulatory framework for responsible AI use, adoption and development in Costa Rica",Marco ético y normativo integral e inclusivo que no limite el desarrollo tecnológico y la innovación elaborado,Comprehensive and inclusive ethical and regulatory framework developed without limiting technological development and innovation,enia-1-1-2-04,2,"Políticas de IA que promuevan la inclusión, equidad, sostenibilidad e I+D+i","Elaborar y formalizar la Política Institucional de Inteligencia Artificial del INS, estableciendo principios éticos, inclusivos y sostenibles para el desarrollo y uso de esta tecnología, garantizando su alineación con el marco ético y normativo nacional y contribuyendo al fortalecimiento de políticas de IA inclusivas a nivel país",Instituto Nacional de Seguros (INS),no-verificado,no-es-sistema-ia,,1,2026-08-21
1.1.2,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.1,"Proponer un marco ético y normativo para el uso, adopción y desarrollo responsable de la IA en Costa Rica","Propose an ethical and regulatory framework for responsible AI use, adoption and development in Costa Rica",Marco ético y normativo integral e inclusivo que no limite el desarrollo tecnológico y la innovación elaborado,Comprehensive and inclusive ethical and regulatory framework developed without limiting technological development and innovation,enia-1-1-2-05,3,"Políticas de IA que promuevan la inclusión, equidad, sostenibilidad e I+D+i","Diseñar e implementar un sistema para la solicitud de información por parte de entes externos, que permita gestionar de forma segura, eficiente y conforme al marco legal los datos sobre niñez y adolescencia generados por el PANI",Patronato Nacional de la Infancia (PANI),no-verificado,no-es-sistema-ia,,1,2026-08-21
1.1.2,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.1,"Proponer un marco ético y normativo para el uso, adopción y desarrollo responsable de la IA en Costa Rica","Propose an ethical and regulatory framework for responsible AI use, adoption and development in Costa Rica",Marco ético y normativo integral e inclusivo que no limite el desarrollo tecnológico y la innovación elaborado,Comprehensive and inclusive ethical and regulatory framework developed without limiting technological development and innovation,enia-1-1-2-06,3,"Políticas de IA que promuevan la inclusión, equidad, sostenibilidad e I+D+i","Diseñar, desarrollar e implementar en el Instituto Costarricense de Turismo (ICT) una política institucional de inteligencia artificial que, mediante un enfoque estratégico, ético y seguro, sirva como marco para modernizar la institución, optimizar la eficiencia operativa, fortalecer la atención al usuario y mejorar la toma de decisiones basadas en datos",Instituto Costarricense de Turismo (ICT)*,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.1.2,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.1,"Proponer un marco ético y normativo para el uso, adopción y desarrollo responsable de la IA en Costa Rica","Propose an ethical and regulatory framework for responsible AI use, adoption and development in Costa Rica",Marco ético y normativo integral e inclusivo que no limite el desarrollo tecnológico y la innovación elaborado,Comprehensive and inclusive ethical and regulatory framework developed without limiting technological development and innovation,enia-1-1-2-07,4,"Políticas de IA que promuevan la inclusión, equidad, sostenibilidad e I+D+i",Diseñar una política empresarial para la gestión y el uso responsable de IA alienada a los principios identificados y recomendaciones para el uso ético de la ENIA.,Instituto Costarricense de Electricidad (ICE)*,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.1.2,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.1,"Proponer un marco ético y normativo para el uso, adopción y desarrollo responsable de la IA en Costa Rica","Propose an ethical and regulatory framework for responsible AI use, adoption and development in Costa Rica",Marco ético y normativo integral e inclusivo que no limite el desarrollo tecnológico y la innovación elaborado,Comprehensive and inclusive ethical and regulatory framework developed without limiting technological development and innovation,enia-1-1-2-08,4,"Políticas de IA que promuevan la inclusión, equidad, sostenibilidad e I+D+i","Participar y colaborar activamente en la formulación de un marco ético y normativo que guíe el uso, adopción y desarrollo responsable de la inteligencia artificial en Costa Rica.",Ministerio de Hacienda,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.1.2,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.1,"Proponer un marco ético y normativo para el uso, adopción y desarrollo responsable de la IA en Costa Rica","Propose an ethical and regulatory framework for responsible AI use, adoption and development in Costa Rica",Marco ético y normativo integral e inclusivo que no limite el desarrollo tecnológico y la innovación elaborado,Comprehensive and inclusive ethical and regulatory framework developed without limiting technological development and innovation,enia-1-1-2-09,5,"Políticas de IA que promuevan la inclusión, equidad, sostenibilidad e I+D+i",Elaborar el borrador de la Política Institucional sobre el uso ético y seguro de la inteligencia artificial,Ministerio de Obras Públicas y Transportes (MOPT),no-verificado,no-es-sistema-ia,,1,2026-08-21
