id,titulo_es,titulo_en,institucion_id,categoria,tipo_iniciativa,estado_catalogo,fase_implementacion,estado_ia,desde,fecha_primera_evidencia,fecha_ultima_verificacion,fuentes,resultados_verificados,url_es,url_en
pj-clasificacion-cobros,Clasificación documental de cobros,Document classification for debt collection,poder-judicial,judicial,sistema-ia,verificado,piloto,confirmada,2023,2023,2026-08-19,1,1,https://observatorioia.org/es/proyectos/pj-clasificacion-cobros/,https://observatorioia.org/en/proyectos/pj-clasificacion-cobros/
pj-ml-presupuestal,Modelo ML de predicción presupuestaria,ML model for budget execution forecasting,poder-judicial,judicial,sistema-ia,verificado,operativo,confirmada,2019,2019,2026-08-19,1,1,https://observatorioia.org/es/proyectos/pj-ml-presupuestal/,https://observatorioia.org/en/proyectos/pj-ml-presupuestal/
pj-nymiz,Anonimización con Nymiz,Anonymization with Nymiz,poder-judicial,judicial,componente-ia,verificado,operativo,confirmada,2024,2024-03-20,2026-08-19,2,0,https://observatorioia.org/es/proyectos/pj-nymiz/,https://observatorioia.org/en/proyectos/pj-nymiz/
pj-sentencias-sala-iv,Análisis IA de sentencias Sala Cuarta,AI analysis of Constitutional Chamber rulings,poder-judicial,judicial,investigacion,ecosistema,operativo,confirmada,2020,2020,2026-08-19,1,1,https://observatorioia.org/es/proyectos/pj-sentencias-sala-iv/,https://observatorioia.org/en/proyectos/pj-sentencias-sala-iv/
pj-giro-continuo,Sistema de Giro Continuo,Continuous Disbursement System,poder-judicial,judicial,digitalizacion-no-ia,ecosistema,operativo,no-determinada,2024,2024,2026-08-19,1,1,https://observatorioia.org/es/proyectos/pj-giro-continuo/,https://observatorioia.org/en/proyectos/pj-giro-continuo/
pj-chatbot,ChatbotPJ: asistente virtual ciudadano,ChatbotPJ: citizen virtual assistant,poder-judicial,judicial,sistema-ia,seguimiento,operativo,declarada-sin-tecnica,2018,2018,2026-08-19,1,1,https://observatorioia.org/es/proyectos/pj-chatbot/,https://observatorioia.org/en/proyectos/pj-chatbot/
ccss-tec-formacion,Programa TEC-CCSS de formación en IA médica,TEC-CCSS training program in medical AI,ccss,salud,programa-capacidades,ecosistema,finalizado,confirmada,2025,2025,2026-08-19,1,1,https://observatorioia.org/es/proyectos/ccss-tec-formacion/,https://observatorioia.org/en/proyectos/ccss-tec-formacion/
ccss-edus,EDUS: Expediente Digital Único en Salud,EDUS: Unified Digital Health Record,ccss,salud,infraestructura-digital,ecosistema,operativo,no-determinada,2025,2010,2026-08-19,1,1,https://observatorioia.org/es/proyectos/ccss-edus/,https://observatorioia.org/en/proyectos/ccss-edus/
ccss-aida,AIDA: Asistente Inteligente Digital para la Atención,AIDA: Intelligent Digital Assistant for Care,ccss,salud,componente-ia,seguimiento,planificado,declarada-sin-tecnica,2025,2025-11-11,2026-08-19,1,0,https://observatorioia.org/es/proyectos/ccss-aida/,https://observatorioia.org/en/proyectos/ccss-aida/
ccss-lidia,LIDIA: modelos predictivos en EDUS,LIDIA: predictive models in EDUS,ccss,salud,componente-ia,verificado,piloto,confirmada,2023,2023,2026-08-19,2,2,https://observatorioia.org/es/proyectos/ccss-lidia/,https://observatorioia.org/en/proyectos/ccss-lidia/
ccss-redimed,REDIMED: Red Digital Institucional de Imágenes Médicas,REDIMED: Institutional Digital Network for Medical Imaging,ccss,salud,infraestructura-digital,ecosistema,desarrollo,confirmada,2024,2023,2026-08-19,2,1,https://observatorioia.org/es/proyectos/ccss-redimed/,https://observatorioia.org/en/proyectos/ccss-redimed/
ccss-depuracion-listas,CCSS IA Depuración Listas de Espera,CCSS AI Wait-list Cleanup,ccss,salud,componente-ia,seguimiento,piloto,declarada-sin-tecnica,2026,2026-05,2026-08-19,1,0,https://observatorioia.org/es/proyectos/ccss-depuracion-listas/,https://observatorioia.org/en/proyectos/ccss-depuracion-listas/
ccss-logistica-ia-abastecimiento,Monitoreo de abastecimiento con IA: Gerencia de Logística,AI supply monitoring: Logistics Management,ccss,salud,componente-ia,seguimiento,operativo,declarada-sin-tecnica,2026,2026-02,2026-08-19,1,0,https://observatorioia.org/es/proyectos/ccss-logistica-ia-abastecimiento/,https://observatorioia.org/en/proyectos/ccss-logistica-ia-abastecimiento/
hacienda-anomaly,Detección de anomalías en facturación electrónica,Electronic-invoicing anomaly detection,hacienda,fiscal,sistema-ia,verificado,operativo,confirmada,2024,2022,2026-08-19,2,1,https://observatorioia.org/es/proyectos/hacienda-anomaly/,https://observatorioia.org/en/proyectos/hacienda-anomaly/
hacienda-asistente,Asistente virtual para contribuyentes,Virtual assistant for taxpayers,hacienda,fiscal,sistema-ia,seguimiento,operativo,declarada-sin-tecnica,2022,2022,2026-08-19,2,0,https://observatorioia.org/es/proyectos/hacienda-asistente/,https://observatorioia.org/en/proyectos/hacienda-asistente/
hacienda-tribu-cr,TRIBU-CR: plataforma tributaria integrada,TRIBU-CR: integrated tax platform,hacienda,fiscal,infraestructura-digital,ecosistema,operativo,no-determinada,2025,2025,2026-08-19,1,0,https://observatorioia.org/es/proyectos/hacienda-tribu-cr/,https://observatorioia.org/en/proyectos/hacienda-tribu-cr/
mep-intel,Especialización técnica en IA (MEP + Intel),AI technical specialization (MEP + Intel),mep,educacion,programa-capacidades,ecosistema,operativo,confirmada,2023,2023,2026-08-19,1,1,https://observatorioia.org/es/proyectos/mep-intel/,https://observatorioia.org/en/proyectos/mep-intel/
micitt-linc,LINC: Laboratorios de Innovación Comunitaria,LINC: Community Innovation Labs,micitt,infraestructura,programa-capacidades,ecosistema,operativo,no-determinada,2023,2023,2026-08-19,1,1,https://observatorioia.org/es/proyectos/micitt-linc/,https://observatorioia.org/en/proyectos/micitt-linc/
micitt-conecta,CONECTA: interoperabilidad nacional basada en X-Road,CONECTA: national interoperability based on X-Road,micitt,infraestructura,infraestructura-digital,ecosistema,desarrollo,descartada,2026,2026-03,2026-08-19,1,0,https://observatorioia.org/es/proyectos/micitt-conecta/,https://observatorioia.org/en/proyectos/micitt-conecta/
